platform,content,engagement,likes,comments,shares,sentiment,url,date
tiktok,"saya salah sorg pengundi N.05 DUN TENANG pada 11/07/26 ni nati, insyaallah kemenangan akan berpihak kepada Cikgu Mala. takbir!!!",297,297.0,0,0,positive,nan,2026-07-08 22:57:27.498377+00:00
tiktok,"saya salah sorg pengundi N.05 DUN TENANG pada 11/07/26 ni nati, insyaallah kemenangan akan berpihak kepada Cikgu Mala. takbir!!!",297,297.0,0,0,positive,nan,2026-07-08 22:57:27.811428+00:00
tiktok,"PRN Johor kali ini, aku tertarik dengan seorang calon PN (PAS).

Seorang guru.
Seorang aktivis masyarakat.
Dan seorang pejuang yang sudah lama berada di medan politik.

Beliau ialah Normala Binti Sudi",233,205.0,9.0,3.0,negative,https://www.tiktok.com/@thekakies/video/7656715815105875208,2026-07-08 14:57:26.137360+00:00
tiktok,"1 - N.02 Jementah
Saifullah bin Abdul Wahab

2 - N.05 Tenang
Normala binti Sudirman

3 - N.13 Simpang Jeram
Arshed bin Yahya

4 - N.15 Maharani
Mohamad Anuar bin Hayan

5 - N.16 Sungai Balang
Muhammad",230,151.0,11.0,14.0,neutral,https://www.tiktok.com/@pas_johor/video/7655360520949665044,2026-07-08 14:57:24.132275+00:00
tiktok,"""Kalau Sabah berani buat perubahan, takkan Tenang tak berani?""

Itulah yang saya percaya.

Malam tadi, ramai pimpinan bersama-sama berkongsi pandangan dan harapan dalam Ceramah Umum. Saya percaya, set",229,207.0,4.0,9.0,negative,https://www.tiktok.com/@cikgumala_johor/video/7659268535373401365,2026-07-08 14:57:27.134251+00:00
tiktok,"Pn Normala Sudirman,atau lebih dekat dengan panggilan Cikgu Mala merupakan tokoh wanita yang tidak asing dalam arena dunia politik.Beliau juga seorang pendidik dan banyak terlibat dalam aktiviti kemas",194,178.0,0,4.0,negative,https://www.tiktok.com/@11sh112/video/7656831021723176210,2026-07-08 14:57:24.809617+00:00
tiktok,"Perikatan Nasional mempertaruhkan Normala Sudirman, bekas Ketua Dewan Muslimat PAS Kawasan Labis, sebagai calon bagi kerusi tersebut. Pencalonan beliau mencerminkan keyakinan PN terhadap kepimpinan wa",173,128.0,6.0,7.0,positive,https://www.tiktok.com/@cikgumala_johor/video/7657112898418150676,2026-07-08 14:57:25.151670+00:00
tiktok,Semoga cikgu mala menang kali ni... Amin...,170,156.0,7.0,0,neutral,https://www.tiktok.com/@amirulasraf1987/video/7656682067010391314,2026-06-29 12:49:29+00:00
tiktok,Semoga cikgu mala menang kali ni... Amin...,156,156.0,0,0,neutral,nan,2026-07-08 22:57:22.905951+00:00
tiktok,Semoga cikgu mala menang kali ni... Amin...,156,156.0,0,0,neutral,nan,2026-07-08 22:57:23.477465+00:00
tiktok,Semoga cikgu mala menang kali ni... Amin...,156,156.0,0,0,neutral,nan,2026-07-08 22:57:23.793822+00:00
tiktok,Semoga cikgu mala menang kali ni... Amin...,156,156.0,0,0,neutral,nan,2026-07-08 22:57:24.131513+00:00
tiktok,Semoga cikgu mala menang kali ni... Amin...,156,156.0,0,0,neutral,nan,2026-07-08 22:57:24.469645+00:00
tiktok,Semoga cikgu mala menang kali ni... Amin...,156,156.0,0,0,neutral,nan,2026-07-08 22:57:24.808846+00:00
tiktok,Semoga cikgu mala menang kali ni... Amin...,156,156.0,0,0,neutral,nan,2026-07-08 22:57:25.151146+00:00
tiktok,Semoga cikgu mala menang kali ni... Amin...,156,156.0,0,0,neutral,nan,2026-07-08 22:57:25.470021+00:00
tiktok,Semoga cikgu mala menang kali ni... Amin...,156,156.0,0,0,neutral,nan,2026-07-08 22:57:25.810853+00:00
tiktok,Semoga cikgu mala menang kali ni... Amin...,156,156.0,0,0,neutral,nan,2026-07-08 22:57:26.136867+00:00
tiktok,Semoga cikgu mala menang kali ni... Amin...,156,156.0,0,0,neutral,nan,2026-07-08 22:57:26.473751+00:00
tiktok,Semoga cikgu mala menang kali ni... Amin...,156,156.0,0,0,neutral,nan,2026-07-08 22:57:26.811462+00:00
tiktok,Semoga cikgu mala menang kali ni... Amin...,156,156.0,0,0,neutral,nan,2026-07-08 22:57:27.133650+00:00
tiktok,Semoga cikgu mala menang kali ni... Amin...,156,156.0,0,0,neutral,nan,2026-07-08 22:57:27.498386+00:00
tiktok,Semoga cikgu mala menang kali ni... Amin...,156,156.0,0,0,neutral,nan,2026-07-08 22:57:27.811443+00:00
tiktok,insyaallah moga dikurniakan kemenangan untuk cikgu mala yang terus istiqamah...🤲🤲🤲,143,135.0,4.0,0,positive,https://www.tiktok.com/@amirulasraf1987/video/7656682067010391314,2026-06-29 06:34:45+00:00
tiktok,insyaallah moga dikurniakan kemenangan untuk cikgu mala yang terus istiqamah...🤲🤲🤲,135,135.0,0,0,positive,nan,2026-07-08 22:57:22.905961+00:00
tiktok,insyaallah moga dikurniakan kemenangan untuk cikgu mala yang terus istiqamah...🤲🤲🤲,135,135.0,0,0,positive,nan,2026-07-08 22:57:23.477482+00:00
tiktok,insyaallah moga dikurniakan kemenangan untuk cikgu mala yang terus istiqamah...🤲🤲🤲,135,135.0,0,0,positive,nan,2026-07-08 22:57:23.793843+00:00
tiktok,insyaallah moga dikurniakan kemenangan untuk cikgu mala yang terus istiqamah...🤲🤲🤲,135,135.0,0,0,positive,nan,2026-07-08 22:57:24.131535+00:00
