Platform,Type,ID,Text,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,URL,video_url,media_type,author,author_followers,sentiment_label,sentiment_confidence,detected_language,demographic,author_demographic,author_demo_confidence,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
tiktok,comment,7657010233767693589_comment_33,"saya salah sorg pengundi N.05 DUN TENANG pada 11/07/26 ni nati, insyaallah kemenangan akan berpihak kepada Cikgu Mala. takbir!!!",https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,positive,2026-07-08 22:57:22.905937+00:00,297,0,0,0,0.9993323981761932,297,,,,,,positive,0.9977746605873108,malay,Malay/Bumiputera,Unknown,0.0,no_clear_emotion,0.02520235814154148,0.01532414648681879,0.1309645175933838,0.011867853812873363,0.24711404740810394,0.025215407833456993
tiktok,comment,7657010233767693589_comment_34,kalau aku confirm pangkah terus cikgu mala ni,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,negative,2026-07-08 22:57:22.905940+00:00,0,0,0,0,0.003146785497665394,0,,,,,,negative,0.989510715007782,malay,Malay/Bumiputera,Unknown,0.0,love,0.01890561915934086,0.010850207880139351,0.0428096167743206,0.008300217799842358,0.8088274002075195,0.030438344925642014
tiktok,comment,7657010233767693589_comment_35,ya allah bagi kemenangan kepada cikgu mala,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,positive,2026-07-08 22:57:22.905943+00:00,0,0,0,0,0.9583089858293532,0,,,,,,positive,0.8610299527645111,multilingual,Unknown,Unknown,0.0,love,0.03726226091384888,0.02220960333943367,0.1309855729341507,0.025257093831896782,0.7116444706916809,0.015635041519999504
tiktok,comment,7657010233767693589_comment_36,"yg Allah, tlg sampai dlm hati² hambamu di dun tenang supaya memilih cikgu mala dlm PRN kali ni. ya Allah, menangkanlah cikgu mala.",https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,neutral,2026-07-08 22:57:22.905946+00:00,1,0,0,0,0.5,1,,,,,,neutral,0.7375815510749817,english,Mixed/Urban,Unknown,0.0,love,0.08934751152992249,0.02006720006465912,0.20355387032032013,0.01542583666741848,0.5591534376144409,0.011732371523976326
tiktok,comment,7657010233767693589_comment_37,sangkut dlm kebun getah. Labis Segamat banjir besar.,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,neutral,2026-07-08 22:57:22.905948+00:00,36,0,0,0,0.5,36,,,,,,neutral,0.776067852973938,english,Mixed/Urban,Unknown,0.0,anger,0.3136455714702606,0.04175480082631111,0.08122815936803818,0.04592401534318924,0.24022123217582703,0.029000822454690933
tiktok,comment,7657010233767693589_comment_38,Semoga cikgu mala menang kali ni... Amin...,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,neutral,2026-07-08 22:57:22.905951+00:00,156,0,0,0,0.5,156,,,,,,neutral,0.7319722175598145,english,Mixed/Urban,Unknown,0.0,love,0.0348815992474556,0.03303881362080574,0.3103736937046051,0.021786317229270935,0.470691055059433,0.022652223706245422
tiktok,comment,7657010233767693589_comment_39,lnsyaAllah cgu menang.,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,negative,2026-07-08 22:57:22.905953+00:00,1,0,0,0,0.11668299436569213,1,,,,,,negative,0.6110566854476929,multilingual,Unknown,Unknown,0.0,no_clear_emotion,0.025260373950004578,0.028961097821593285,0.0952887237071991,0.01287552434951067,0.16617873311042786,0.035394493490457535
tiktok,comment,7657010233767693589_comment_40,semoga cikgu mala memperolehi kemenangan,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,neutral,2026-07-08 22:57:22.905956+00:00,129,0,0,0,0.5,129,,,,,,neutral,0.8236557245254517,english,Mixed/Urban,Unknown,0.0,no_clear_emotion,0.08666618913412094,0.028643181547522545,0.08721821755170822,0.027532627806067467,0.2831427752971649,0.020028091967105865
tiktok,comment,7657010233767693589_comment_41,"Ya Allah,menangkanlah PaS ya Allah💚",https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,negative,2026-07-08 22:57:22.905958+00:00,43,0,0,0,0.09628863930702208,43,,,,,,negative,0.679037868976593,multilingual,Unknown,Unknown,0.0,love,0.044901859015226364,0.02544662356376648,0.03626737743616104,0.04229067265987396,0.7931385040283203,0.018987294286489487
tiktok,comment,7657010233767693589_comment_42,insyaallah moga dikurniakan kemenangan untuk cikgu mala yang terus istiqamah...🤲🤲🤲,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,positive,2026-07-08 22:57:22.905961+00:00,135,0,0,0,0.9993939816951751,135,,,,,,positive,0.9979799389839172,malay,Malay/Bumiputera,Unknown,0.0,happy,0.029888320714235306,0.03564366325736046,0.4964200258255005,0.01868530362844467,0.35205361247062683,0.01976761780679226
tiktok,comment,7657010233767693589_comment_43,aku hrp pimpinan pas BG 1 kerusi parlimen selamat kat cikgu mala...byk pengorbanan lakukan sampai berhenti cikgu kerajaan...x ade pencen...kebyk masuk tanding bila pas dh kuat...,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,neutral,2026-07-08 22:57:22.905963+00:00,69,0,0,0,0.5,69,,,,,,neutral,0.8288408517837524,english,Mixed/Urban,Unknown,0.0,fear,0.16123120486736298,0.4244077801704407,0.08909818530082703,0.02740999311208725,0.13290318846702576,0.05100329592823982
tiktok,comment,7657010233767693589_comment_44,[Sticker],https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,neutral,2026-07-08 22:57:22.905966+00:00,16,0,0,0,0.5,16,,,,,,neutral,0.638904333114624,english,Mixed/Urban,Unknown,0.0,love,0.1529519110918045,0.06760036945343018,0.1107211709022522,0.050134241580963135,0.4213085174560547,0.036323435604572296
tiktok,comment,7657010233767693589_comment_45,Insya-Allah anak muda undi Perikatan Nasional,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,neutral,2026-07-08 22:57:22.905968+00:00,101,0,0,0,0.5,101,,,,,,neutral,0.6820594072341919,english,Mixed/Urban,Unknown,0.0,love,0.02784767560660839,0.025259803980588913,0.12036356329917908,0.015360129997134209,0.5259963274002075,0.028163887560367584
tiktok,comment,7657010233767693589_comment_46,"Ada berbual dengan cikgu mala pasal redah banjir ni. Masa ni cikgu mala pakai kasut baru sbb kasut lamanya rosak. tapi demi perjuangan, tak apalah dia redah banjir dgn kasut baru tu. Allah maha baik, nnti adalah rezeki lain katanya. Semoga dikurniakan kemenangan buat Cikgu Mala🤲🏻",https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,negative,2026-07-08 22:57:22.905971+00:00,14,0,0,0,0.002834022045135498,14,,,,,,negative,0.9905532598495483,malay,Malay/Bumiputera,Unknown,0.0,anger,0.8013349771499634,0.030955109745264053,0.03425817936658859,0.038798633962869644,0.044813867658376694,0.008197303861379623
tiktok,comment,7657010233767693589_comment_47,terbaik pas,https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,positive,2026-07-08 22:57:22.905974+00:00,33,0,0,0,0.9110351860523224,33,,,,,,positive,0.703450620174408,malay,Malay/Bumiputera,Unknown,0.0,no_clear_emotion,0.19276055693626404,0.046187032014131546,0.09811132401227951,0.022747265174984932,0.17256030440330505,0.04082135483622551
tiktok,comment,7657010233767693589_comment_48,"pernah sampai si dun tenang n bantu cikgu mala,msalah pilihan raya kecik.minsyaallah ini kali🤲",https://www.tiktok.com/@amlin019/video/7657010233767693589,7657010233767693589,positive,2026-07-08 22:57:22.905976+00:00,35,0,0,0,0.8362632319331169,35,,,,,,positive,0.4542107731103897,multilingual,Unknown,Unknown,0.0,love,0.056263331323862076,0.017870767042040825,0.0839029848575592,0.017721273005008698,0.6753915548324585,0.01267088670283556
